AREA;VARIEDADE;DATA DE PODA;DATA DA AMOSTRA;DIAS_POS_PODA;TEXTO DATA;ESTADO DO ENGACO;COLORACAO DO CACHO;BRIX ACIMA DO IDEAL;BRIX DO SUCO;ACIDEZ;BRIX;DIAMETRO
B16 V1;THOMPSON;04/06/2018;29/08/2018;86;29/08/2018;MADURO;VERDE;0;13,2;1,71;13,7;16,2
B16 V2;THOMPSON;29/05/2018;29/08/2018;92;29/08/2018;MADURO;¶MBAR;0,1;15;1,29;15,5;17,2
A06 V3;ARRA 15;;30/08/2018;43342;30/08/2018;MADURO;VERDE;;13,2;1,7;12,9;19
A06 V4;ARRA 15;;30/08/2018;43342;30/08/2018;MADURO;VERDE;0,05;14,2;1,6;13,8;19,9
B07 V2.1;SABLE;;30/08/2018;43342;30/08/2018;MADURO;PRETA;0,07;15;0,73;15,1;18,6
A02 V3;SUGRAONE;13/06/2018;31/08/2018;79;31/08/2018;;;0;11,4;1,05;10,8;19,3
A02 V4;SUGRAONE;14/06/2018;31/08/2018;78;31/08/2018;;;0;10,6;1,1;9,9;19,86
A05 V4;SUGRAONE;18/06/2018;31/08/2018;74;31/08/2018;;;0;10,6;1,5;9,3;19,58
A06 V1 E V2;ARRA 15;07/06/2018;31/08/2018;85;31/08/2018;;;0,02;1,2;1,46;13,6;19,6
A06 V2;ARRA 15;07/06/2018;31/08/2018;85;31/08/2018;;VERDE;0,1;14,2;1,5;14,4;18,9
B05 V1;CRIMSON;17/05/2018;03/09/2018;109;03/09/2018;MADURO;VERMELHA;83,33;17;0,75;17;25
B05 V2;CRIMSON;15/05/2018;03/09/2018;111;03/09/2018;MADURO;VERMELHA;0,53;16;0,82;15,7;19,7
B11 V2;SW35;;03/09/2018;43346;03/09/2018;MADURO;;;18;0,52;18;17,6
B11 V2;ARRA 30;;03/09/2018;43346;03/09/2018;MADURO;;0,1;15,6;0,34;16;18
B15 V1;THOMPSON;23/05/2018;03/09/2018;103;03/09/2018;MADURO;¶MBAR;0,73;17,4;0,85;17,6;17,8
B15 V2;THOMPSON;23/05/2018;03/09/2018;103;03/09/2018;MADURO;¶MBAR;0,63;17;0,88;17;17,6
B07 V2.1;SABLE;14/06/2018;03/09/2018;81;03/09/2018;MADURO;;0,12;15,6;0,69;16;18
A02 V1;SUGRAONE;08/06/2018;05/09/2018;89;05/09/2018;MADURO;¶MBAR;0,18;13,8;0,67;13,6;18
A02 V2;SUGRAONE;11/06/2018;05/09/2018;86;05/09/2018;MADURO;¶MBAR;0,18;13,4;0,72;13;17
A06 V1;ARRA 15;07/06/2018;05/09/2018;90;05/09/2018;MADURO;VERDE;0,17;15;1,47;15;17,8
A06 V2;ARRA 15;07/06/2018;05/09/2018;90;05/09/2018;MADURO;VERDE;0,28;15;1,39;15,6;20
B11 V02;ARRA 30;;05/09/2018;43348;05/09/2018;MADURO;¶MBAR;;16;0,31;16;20
B15 V1;THOMPSON;23/05/2018;05/09/2018;105;05/09/2018;MADURO;¶MBAR;0,53;17;0,9;17;21
B15 V2;THOMPSON;23/05/2018;05/09/2018;105;05/09/2018;MADURO;¶MBAR;0,63;16,8;0,87;17;22
B5 V01;CRIMSON;17/05/2018;05/09/2018;111;05/09/2018;MADURO;VERMELHA;0,95;17,2;0,78;17;19
B05 V2;CRIMSON;15/05/2018;06/09/2018;114;06/09/2018;MADURO;VERMELHA;0,73;16,6;0,82;16;17
B07 V1;SABLE;14/06/2018;06/09/2018;84;06/09/2018;MADURO;PRETA;0;14,6;0,99;13,5;17
B16 V1;THOMPSON;04/06/2018;06/09/2018;94;06/09/2018;MADURO;¶MBAR;0,33;15,6;1,12;16;18
B16 V2;THOMPSON;29/05/2018;06/09/2018;100;06/09/2018;MADURO;¶MBAR;0,35;16;1;16;17
A02 V1;SUGRAONE;08/06/2018;10/09/2018;94;10/09/2018;MADURO;¶MBAR;0,35;14;0,59;14;20
A02 V2;SUGRAONE;11/06/2018;10/09/2018;91;10/09/2018;MADURO;¶MBAR;0,37;14;0,6;13,9;20
A06 V1;ARRA 15;07/06/2018;10/09/2018;95;10/09/2018;MADURO;¶MBAR;0,55;16,4;1,3;16;20
A06 V2;ARRA 15;07/06/2018;10/09/2018;95;10/09/2018;MADURO;¶MBAR;0,47;15,8;1,3;16;19,5
A06 V3;ARRA 15;08/06/2018;10/09/2018;94;10/09/2018;MADURO;¶MBAR;0,67;16,6;1,09;17;19,7
A06 V4;ARRA 15;08/06/2018;10/09/2018;94;10/09/2018;MADURO;¶MBAR;0,77;17;1,06;18;18
B05 V1;CRIMSON;17/05/2018;10/09/2018;116;10/09/2018;MADURO;VERMELHA;0,92;17,2;0,72;17,2;18
B05 V2;CRIMSON;15/05/2018;10/09/2018;118;10/09/2018;MADURO;VERMELHA;0,87;17;0,73;16,7;22,8
B07 V1;SABLE;14/06/2018;10/09/2018;88;10/09/2018;MADURO;PRETA;0,05;15;0,8;14,7;22,4
A02 V3;SUGRAONE;13/06/2018;11/09/2018;90;11/09/2018;MADURO;¶MBAR;0,05;12,4;0,71;12;17,7
A02 V4;SUGRAONE;14/06/2018;11/09/2018;89;11/09/2018;MADURO;¶MBAR;0,07;12,6;0,78;12,4;21,4
B09 V2;CRIMSON;25/05/2018;11/09/2018;109;11/09/2018;MADURO;VERMELHA;0,63;15,8;0,93;16;17,6
B15 V1;THOMPSON;23/05/2018;11/09/2018;111;11/09/2018;MADURO;¶MBAR;0,75;17;0,79;17,6;18
B15 V2;THOMPSON;23/05/2018;11/09/2018;111;11/09/2018;MADURO;¶MBAR;0,9;18,4;0,72;18;18
B16 V1;THOMPSON;04/06/2018;11/09/2018;99;11/09/2018;MADURO;¶MBAR;0,52;16,4;1,01;16,8;21,8
B16 V2;THOMPSON;29/05/2018;11/09/2018;105;11/09/2018;MADURO;¶MBAR;0,7;17,2;0,89;17;18
A05 V3 E V4;SUGRAONE;19/06/2018;12/09/2018;85;12/09/2018;MADURO;¶MBAR;0;12,2;0,86;11,6;21,7
A05 V1 E V2;SUGRAONE;18/06/2018;12/09/2018;86;12/09/2018;MADURO;¶MBAR;0,03;12,4;0,78;12,6;20,3
A09 V1;ARRA 15;14/06/2018;12/09/2018;90;12/09/2018;VERDE;VERDE;0;12;1,83;11,8;20,2
A09 V2;ARRA 15;15/06/2018;12/09/2018;89;12/09/2018;VERDE;VERDE;0;12,6;1,76;12,2;21,2
B15 V2;THOMPSON;23/05/2018;12/09/2018;112;12/09/2018;MADURO;¶MBAR;0,57;16,4;0,81;16,9;18,1
B15 V1;THOMPSON;23/05/2018;12/09/2018;112;12/09/2018;MADURO;¶MBAR;0,58;17,4;0,79;17,5;18,5
A11 V1;MIDNIGHT;19/06/2018;13/09/2018;86;13/09/2018;MADURO;PRETA;0,1;14,2;0,85;14;17,6
A11 V2;MIDNIGHT;19/06/2018;13/09/2018;86;13/09/2018;MADURO;PRETA;0,12;14,2;0,86;14,6;18,8
A06 V1;ARRA 15;07/06/2018;13/09/2018;98;13/09/2018;MADURO;¶MBAR;0,5;16,2;1,13;16,4;19,7
A06 V2;ARRA 15;07/06/2018;13/09/2018;98;13/09/2018;MADURO;¶MBAR;0,62;16,8;1,16;17;16,7
A06 V3;ARRA 15;08/06/2018;13/09/2018;97;13/09/2018;MADURO;¶MBAR;0,7;17;1,05;17,5;16,7
A06 V4;ARRA 15;08/06/2018;13/09/2018;97;13/09/2018;MADURO;¶MBAR;0,79;17,8;1,03;18,4;20,7
B05 V1;CRIMSON;17/05/2018;13/09/2018;119;13/09/2018;MADURO;ROSADA;0,92;17,2;0,87;17;20,4
B05 V2;CRIMSON;15/05/2018;13/09/2018;121;13/09/2018;MADURO;ROSADA;0,73;16;0,8;16,6;20,5
B 7 V 1;SABLE;14/06/2018;13/09/2018;91;13/09/2018;MADURO;PRETA;0,03;14,8;0,73;15;20
A02 V3;SUGRAONE;13/06/2018;14/09/2018;93;14/09/2018;MADURO;¶MBAR;0,23;13,2;0,71;13,5;19,7
A02 V4;SUGRAONE;14/06/2018;14/09/2018;92;14/09/2018;MADURO;¶MBAR;0,08;12,4;0,63;12,7;20,7
B09 V2;CRIMSON;25/05/2018;14/09/2018;112;14/09/2018;MADURO;VERMELHA;0,65;16,4;0,82;16,4;22
A05 V1 E V2;SUGRAONE;18/06/2018;17/09/2018;91;17/09/2018;MADURO;¶MBAR;0,15;13,6;0,69;13;20
A05 V3 E V4;SUGRAONE;19/06/2018;17/09/2018;90;17/09/2018;MADURO;¶MBAR;0,05;12,2;0,62;11,9;21,9
A09 V1;ARRA 15;14/06/2018;17/09/2018;95;17/09/2018;MADURO;¶MBAR;0,02;13,4;1,42;13,6;17,2
A09 V2;ARRA 15;15/06/2018;17/09/2018;94;17/09/2018;MADURO;¶MBAR;0;13,2;1,45;13,4;21,3
B07 V1;SABLE;14/06/2018;17/09/2018;95;17/09/2018;MADURO;PRETA;0,18;16;0,67;15,8;21,1
A02 V3;SUGRAONE;13/06/2018;18/09/2018;97;18/09/2018;MADURO;¶MBAR;0,18;13,2;0,56;13,6;21,8
A02 V4;SUGRAONE;14/06/2018;18/09/2018;96;18/09/2018;MADURO;¶MBAR;0,17;13;0,61;13,1;18,6
A11 V1;MIDNIGHT;19/06/2018;18/09/2018;91;18/09/2018;MADURO;PRETA;0,35;14,6;0,66;15;18
A11 V2;MIDNIGHT;19/06/2018;18/09/2018;91;18/09/2018;MADURO;PRETA;0,4;15,4;0,69;15,4;17
B09 V1;CRIMSON;06/06/2018;18/09/2018;104;18/09/2018;MADURO;ROSADA;0,13;14;0,93;14;17,7
B09 V2;CRIMSON;25/05/2018;18/09/2018;116;18/09/2018;MADURO;VERMELHA;0,83;16,8;0,72;16,9;22,7
B07 V1;SABLE;14/06/2018;19/09/2018;97;19/09/2018;MADURO;PRETA;0,3;16,4;0,63;16;20
A05 V1 E V2;SUGRAONE;18/06/2018;20/09/2018;94;20/09/2018;MADURO;¶MBAR;0,25;13,8;0,63;13,9;18,9
A05 V3 E V4;SUGRAONE;19/06/2018;20/09/2018;93;20/09/2018;MADURO;¶MBAR;0,03;12;0,6;12,9;17
A09 V1;ARRA 15;14/06/2018;20/09/2018;98;20/09/2018;MADURO;¶MBAR;0,12;14,8;1,27;15;17,7
A09 V2;ARRA 15;15/06/2018;20/09/2018;97;20/09/2018;MADURO;VERDE;0,08;13,6;1,36;14;21,8
A09 V3 E V4;ARRA 15;22/06/2018;20/09/2018;90;20/09/2018;VERDE;VERDE;0;12,6;1,54;12,6;20,7
A11 V1;MIDNIGHT;19/06/2018;20/09/2018;93;20/09/2018;MADURO;PRETA;0,43;15,2;0,63;15,8;22,6
A11 V2;MIDNIGHT;19/06/2018;20/09/2018;93;20/09/2018;MADURO;PRETA;0,75;15,4;0,66;16;20
B07 V1;SABLE;14/06/2018;20/09/2018;98;20/09/2018;MADURO;PRETA;0,38;16,6;0,63;16;22
B09 V1;CRIMSON;06/06/2018;20/09/2018;106;20/09/2018;MADURO;ROSADA;0,17;14,2;0,91;14,7;20,7
A02 V3 E V4;SUGRAONE;13/06/2018;21/09/2018;100;21/09/2018;MADURO;¶MBAR;0,3;14;0,55;13,8;22,3
A05 V1 E V2;SUGRAONE;18/06/2018;24/09/2018;98;24/09/2018;MADURO;¶MBAR;0,62;14,4;0,55;15;21
A05 V3 E V4;SUGRAONE;19/06/2018;24/09/2018;97;24/09/2018;MADURO;¶MBAR;0,17;13,2;0,55;13,7;22
A09 V1;ARRA 15;14/06/2018;24/09/2018;102;24/09/2018;MADURO;¶MBAR;0;13;1,68;13,8;20
A09 V1;ARRA 15;14/06/2018;24/09/2018;102;24/09/2018;MADURO;¶MBAR;0,48;16,2;1,12;16,9;17
A09 V2;ARRA 15;15/06/2018;24/09/2018;101;24/09/2018;MADURO;¶MBAR;0,35;15,6;1,15;16;17,8
A11 V1;MIDNIGHT;19/06/2018;24/09/2018;97;24/09/2018;MADURO;PRETA;0,67;15,2;0,57;16;22
A11 V2;MIDNIGHT;19/06/2018;24/09/2018;97;24/09/2018;MADURO;PRETA;0,87;16,4;0,61;16,8;21,6
B03 V2;CRIMSON;12/06/2018;24/09/2018;104;24/09/2018;MADURO;ROSADA;0,38;13,4;1,02;15,5;22,6
B07 V1;SABLE;14/06/2018;24/09/2018;102;24/09/2018;MADURO;¶MBAR;0,75;17,6;0,6;17;18,8
B09 V1;CRIMSON;06/06/2018;24/09/2018;110;24/09/2018;MADURO;ROSADA;0,2;14,2;0,9;14,8;17,9
A10 V1;ARRA 15;25/06/2018;25/09/2018;92;25/09/2018;MADURO;VERDE;0;13,4;1,46;13;19
A10 V2;ARRA 15;22/06/2018;25/09/2018;95;25/09/2018;MADURO;VERDE;0,02;13,4;1,42;13,6;19
B06 V1;ARRA 15;26/06/2018;26/09/2018;92;26/09/2018;MADURO;VERDE;0;14;1,54;13,8;18,7
B06 V2;ARRA 15;28/06/2018;26/09/2018;90;26/09/2018;MADURO;VERDE;0,07;12,6;1,69;13,7;20,2
B09 V1;CRIMSON;06/06/2018;26/09/2018;112;26/09/2018;MADURO;ROSADA;0,1;13,8;0,88;14;19,9
A01 V1;CRIMSON;15/06/2018;27/09/2018;104;27/09/2018;MADURO;ROSADA;0,43;15,6;1,08;15;20,8
A09 V1;ARRA 15;14/06/2018;27/09/2018;105;27/09/2018;MADURO;¶MBAR;0,6;17;1,05;17,1;21
A09 V2;ARRA 15;15/06/2018;27/09/2018;104;27/09/2018;MADURO;¶MBAR;0,63;16,2;1,06;16,9;18
A09 V3 E V4;ARRA 15;22/06/2018;27/09/2018;97;27/09/2018;MADURO;¶MBAR;0,02;13,6;1,23;13,9;18,8
A11 V1;MIDNIGHT;19/06/2018;27/09/2018;100;27/09/2018;MADURO;PRETA;0,87;16,2;0,56;16,6;18
A11 V2;MIDNIGHT;19/06/2018;27/09/2018;100;27/09/2018;MADURO;PRETA;0,92;17;0,58;17;17
B04 V1;CRIMSON;21/06/2018;27/09/2018;98;27/09/2018;MADURO;ROSADA;0;13;1,35;13,3;17,7
B04 V2;CRIMSON;11/06/2018;27/09/2018;108;27/09/2018;MADURO;ROSADA;0,15;14,6;1,11;14;20
A10 V1;ARRA 15;25/06/2018;28/09/2018;95;28/09/2018;MADURO;¶MBAR;0;14;1,31;13;18
A10 V2;ARRA 15;22/06/2018;28/09/2018;98;28/09/2018;MADURO;¶MBAR;0,05;14,4;1,29;13,9;18
B03 V1;CRIMSON;21/06/2018;28/09/2018;99;28/09/2018;MADURO;ROSADA;0,1;14,6;1,33;14;20
B03 V2;CRIMSON;12/06/2018;28/09/2018;108;28/09/2018;MADURO;VERMELHA;0,33;16;1,01;15;19
A01 V1;CRIMSON;15/06/2018;01/10/2018;108;01/10/2018;MADURO;ROSADA;0,82;17;0,98;16,7;20
A09 V3;ARRA 15;22/06/2018;01/10/2018;101;01/10/2018;MADURO;¶MBAR;0,37;15,2;1,08;16,1;20
A09 V4;ARRA 15;22/06/2018;01/10/2018;101;01/10/2018;MADURO;¶MBAR;0,08;14,2;1,2;14,2;17,8
A10 V2;ARRA 15;22/06/2018;01/10/2018;101;01/10/2018;MADURO;¶MBAR;0,08;15,2;1,25;14,8;18
A10 V1;ARRA 15;25/06/2018;01/10/2018;98;01/10/2018;MADURO;¶MBAR;0,15;15;1,09;14,79;21,71
A11 V1;MIDNIGHT;19/06/2018;01/10/2018;104;01/10/2018;MADURO;PRETA;0,5;16,6;0,54;16,9;20,1
A11 V2;MIDNIGHT;19/06/2018;01/10/2018;104;01/10/2018;MADURO;PRETA;0,48;16,4;0,58;16,8;21,1
B06 V1;ARRA 15;26/06/2018;01/10/2018;97;01/10/2018;MADURO;¶MBAR;0,15;15,6;1,27;15;19,8
B06 V2;ARRA 15;28/06/2018;01/10/2018;95;01/10/2018;MADURO;¶MBAR;0,13;15;1,39;14;17,9
A03 V1 E V2;ARRA 15;03/07/2018;02/10/2018;91;02/10/2018;MADURO;VERDE;0,03;13,6;1,57;13,6;18,9
A03 V3 E V4;ARRA 15;03/07/2018;02/10/2018;91;02/10/2018;MADURO;VERDE;0,02;13,2;1,62;13;18
B03 V2;CRIMSON;12/06/2018;02/10/2018;112;02/10/2018;MADURO;VERMELHA;0,78;16,6;0,9;16,6;17
B03 V2;CRIMSON;12/06/2018;02/10/2018;112;02/10/2018;MADURO;ROSADA;0,52;15,6;0,99;15;17,7
B04 V1;CRIMSON;21/06/2018;02/10/2018;103;02/10/2018;MADURO;VERMELHA;0,43;14,8;1,07;15,4;19
B04 V1;CRIMSON;21/06/2018;02/10/2018;103;02/10/2018;MADURO;ROSADA;0,13;13,2;1,27;13,1;19,8
B04 V2;CRIMSON;11/06/2018;02/10/2018;113;02/10/2018;MADURO;ROSADA;0,35;14,8;1,03;15,2;17,8
B04 V2;CRIMSON;11/06/2018;02/10/2018;113;02/10/2018;MADURO;VERMELHA;0,48;15,6;1,01;15;18
B03 V1;CRIMSON;21/06/2018;03/10/2018;104;03/10/2018;MADURO;ROSADA;0,38;15,4;1,17;15,3;19,6
B08 V1;ARRA 15;05/07/2018;03/10/2018;90;03/10/2018;MADURO;VERDE;0,02;13,4;1,81;13,4;19,6
B08 V2;ARRA 15;06/07/2018;03/10/2018;89;03/10/2018;MADURO;VERDE;0;13;1,95;12,8;17,3
A01 V1;CRIMSON;15/06/2018;04/10/2018;111;04/10/2018;MADURO;ROSADA;0,87;15;0,94;16,8;21
A09 V3;ARRA 15;22/06/2018;04/10/2018;104;04/10/2018;MADURO;¶MBAR;0,57;16;1,01;16,9;18
A09 V4;ARRA 15;22/06/2018;04/10/2018;104;04/10/2018;MADURO;¶MBAR;0,23;15;1,05;15;19,9
A10 V1;ARRA 15;25/06/2018;04/10/2018;101;04/10/2018;MADURO;¶MBAR;0,25;16,2;1,01;15,5;19,9
A10 V2;ARRA 15;22/06/2018;04/10/2018;104;04/10/2018;MADURO;¶MBAR;0,28;15,4;1,02;15,7;19
B04 V1;CRIMSON;21/06/2018;04/10/2018;105;04/10/2018;MADURO;VERMELHA;0,23;15,2;1,05;14,8;18
B04 V2;CRIMSON;11/06/2018;04/10/2018;115;04/10/2018;MADURO;VERMELHA;0,52;16;0,95;15,6;18
B06 V1;ARRA 15;26/06/2018;04/10/2018;100;04/10/2018;MADURO;¶MBAR;0,37;15,8;1,23;15,9;21,8
B06 V2;ARRA 15;28/06/2018;04/10/2018;98;04/10/2018;MADURO;¶MBAR;0,18;15,4;1,27;15,1;20,4
A03 V1 E V2;ARRA 15;03/07/2018;05/10/2018;94;05/10/2018;MADURO;¶MBAR;0,12;15;1,31;15;20
A03 V3 E V4;ARRA 15;03/07/2018;05/10/2018;94;05/10/2018;MADURO;¶MBAR;0,15;14,4;1,38;14,7;20,5
A03 V1 E V2;ARRA 15;03/07/2018;08/10/2018;97;08/10/2018;MADURO;¶MBAR;0,65;16,8;1,16;17,6;21,2
A03 V3 E V4;ARRA 15;03/07/2018;08/10/2018;97;08/10/2018;MADURO;¶MBAR;0,27;15;1,32;15,6;19,9
A10 V1;ARRA 15;25/06/2018;08/10/2018;105;08/10/2018;MADURO;¶MBAR;0,77;17,2;0,87;17,8;20,8
A10 V2;ARRA 15;22/06/2018;08/10/2018;108;08/10/2018;MADURO;¶MBAR;0,58;16,8;0,94;17;21
B04 V2;CRIMSON;11/06/2018;08/10/2018;119;08/10/2018;MADURO;VERMELHA;0,62;15,6;0,9;16;19,9
B04 V2;CRIMSON;11/06/2018;08/10/2018;119;08/10/2018;;MESCLADA;0,5;14,6;0,9;15,6;20,9
B06 V1;ARRA 15;26/06/2018;08/10/2018;104;08/10/2018;MADURO;¶MBAR;0,73;17;1,03;17,6;18
B06 V2;ARRA 15;28/06/2018;08/10/2018;102;08/10/2018;MADURO;¶MBAR;0,65;16;1,12;17,1;18
B09 V1;CRIMSON;06/06/2018;08/10/2018;124;08/10/2018;MADURO;MESCLADA;0,48;14,6;0,78;15,5;18
B09 V1;CRIMSON;06/06/2018;08/10/2018;124;08/10/2018;MADURO;VERMELHA;0,77;16,2;0,76;16,7;18,7
A01 V1;CRIMSON;15/06/2018;09/10/2018;116;09/10/2018;MADURO;ROSADA;0,98;18,2;0,81;17,7;18
A09 V3;ARRA 15;22/06/2018;09/10/2018;109;09/10/2018;MADURO;¶MBAR;0,68;17;0,91;17,8;17
A09 V4;ARRA 15;22/06/2018;09/10/2018;109;09/10/2018;MADURO;¶MBAR;0,57;16;0,93;16,6;17
B03 V1;CRIMSON;21/06/2018;09/10/2018;110;09/10/2018;MADURO;MESCLADA;0,62;16,4;0,99;16;17
B03 V2;CRIMSON;12/06/2018;09/10/2018;119;09/10/2018;MADURO;MESCLADA;0,7;16;0,82;16;17,6
B03 V2;CRIMSON;12/06/2018;09/10/2018;119;09/10/2018;MADURO;VERMELHA;0,95;18;0,78;17,9;20
B04 V1;CRIMSON;21/06/2018;09/10/2018;110;09/10/2018;MADURO;VERMELHA;0,67;16,4;0,93;16;19,7
B04 V1;CRIMSON;21/06/2018;09/10/2018;110;09/10/2018;MADURO;MESCLADA;0,35;15,6;0,99;15;21
B08 V1;ARRA 15;05/07/2018;09/10/2018;96;09/10/2018;MADURO;¶MBAR;0,22;15;1,42;15;21
B08 V2;ARRA 15;06/07/2018;09/10/2018;95;09/10/2018;MADURO;¶MBAR;0,03;14,4;1,57;14;18
A03 V3 E V4;ARRA 15;03/07/2018;11/10/2018;100;11/10/2018;MADURO;¶MBAR;0,53;15,8;1,16;16,6;22
A09 V3;ARRA 15;22/06/2018;11/10/2018;111;11/10/2018;MADURO;¶MBAR;0,73;17;0,82;18;20
A03 V1 E V2;ARRA 15;03/07/2018;11/10/2018;100;11/10/2018;MADURO;¶MBAR;0,58;16,6;1,07;17;18,6
A09 V4;ARRA 15;22/06/2018;11/10/2018;111;11/10/2018;MADURO;¶MBAR;0,7;16,8;0,85;17;18,6
B03 V2;CRIMSON;12/06/2018;11/10/2018;121;11/10/2018;MADURO;VERMELHA;0,88;17,6;0,82;17;21
B03 V2;CRIMSON;12/06/2018;11/10/2018;121;11/10/2018;MADURO;MESCLADA;0,75;16,2;0,84;16;19
B04 V2;CRIMSON;11/06/2018;11/10/2018;122;11/10/2018;MADURO;MESCLADA;0,58;16;0,82;15,7;18
B04 V2;CRIMSON;11/06/2018;11/10/2018;122;11/10/2018;MADURO;VERMELHA;0,68;16;0,79;16;21,8
B09 V1;CRIMSON;06/06/2018;11/10/2018;127;11/10/2018;MADURO;VERMELHA;0,85;17;0,69;16,9;19
A01 V1;CRIMSON;15/06/2018;15/10/2018;122;15/10/2018;MADURO;ROSADA;0,97;18,2;0,8;18;21
A03 V3 E V4;ARRA 15;03/07/2018;15/10/2018;104;15/10/2018;MADURO;¶MBAR;0,73;16,8;1,03;17,9;20,6
A03 V1 E V2;ARRA 15;03/07/2018;15/10/2018;104;15/10/2018;MADURO;¶MBAR;0,78;16,8;0,94;17,6;20,5
B03 V1;CRIMSON;21/06/2018;15/10/2018;116;15/10/2018;MADURO;MESCLADA;0,87;16,6;0,85;16,9;17,9
B03 V1;CRIMSON;21/06/2018;15/10/2018;116;15/10/2018;MADURO;VERMELHA;0,87;17,6;0,74;17,3;20,6
B04 V1;CRIMSON;21/06/2018;15/10/2018;116;15/10/2018;MADURO;VERMELHA;0,73;16,8;0,79;16,5;18
B04 V1;CRIMSON;21/06/2018;15/10/2018;116;15/10/2018;MADURO;MESCLADA;0,32;14,6;0,91;14,9;17
B08 V2;ARRA 15;06/07/2018;15/10/2018;101;15/10/2018;MADURO;¶MBAR;0,53;16,2;1,18;16,5;17
B08 V1;ARRA 15;05/07/2018;15/10/2018;102;15/10/2018;MADURO;¶MBAR;0,53;16,8;1,15;16,9;17
A09 V3;ARRA 15;22/06/2018;17/10/2018;117;17/10/2018;;VERDE;0,05;14;0,96;14,1;20
A09 V3;ARRA 15;22/06/2018;17/10/2018;117;17/10/2018;;VERDE;0,15;14,4;0,91;14,7;19
A09 V4;ARRA 15;22/06/2018;17/10/2018;117;17/10/2018;;VERDE;0,05;14;0,94;14;20
A09 V4;ARRA 15;22/06/2018;17/10/2018;117;17/10/2018;;VERDE;0,28;15;0,84;15;20
B06 V1;ARRA 15;26/06/2018;17/10/2018;113;17/10/2018;;¶MBAR;0,43;15,4;0,95;15,8;21
B06 V2;ARRA 15;28/06/2018;17/10/2018;111;17/10/2018;;VERDE;0,38;15,4;0,97;16;20
A01 V1;CRIMSON;15/06/2018;18/10/2018;125;18/10/2018;MADURO;ROSADA;0,97;18,2;0,73;18;17
A01 V1;CRIMSON;15/06/2018;18/10/2018;125;18/10/2018;;SEM COR;0,82;16;1,82;16,8;20
B03 V1;CRIMSON;21/06/2018;18/10/2018;119;18/10/2018;MADURO;ROSADA;0,93;17;0,86;16,9;17,6
B03 V1;CRIMSON;21/06/2018;18/10/2018;119;18/10/2018;MADURO;VERMELHA;0,93;17,6;79;17;17
B04 V1;CRIMSON;21/06/2018;18/10/2018;119;18/10/2018;MADURO;MESCLADA;0,43;15,4;0,9;15;20,9
B04 V1;CRIMSON;21/06/2018;18/10/2018;119;18/10/2018;MADURO;VERMELHA;0,83;17;0,79;16,8;17,8
B08 V1;ARRA 15;05/07/2018;18/10/2018;105;18/10/2018;MADURO;¶MBAR;0,67;17,2;0,99;17;17
B08 V2;ARRA 15;06/07/2018;18/10/2018;104;18/10/2018;MADURO;¶MBAR;0,53;16,2;1,16;16;17
A01 V1;CRIMSON;15/06/2018;22/10/2018;129;22/10/2018;;ROSADA;0,98;18,6;0,69;19;18
A01 V1;CRIMSON;15/06/2018;22/10/2018;129;22/10/2018;;MESCLADA;0,98;17,8;0,76;17,8;18
A03 V3 E V4;ARRA 15;03/07/2018;22/10/2018;111;22/10/2018;;VERDE;0,25;14,8;0,99;15;20
B08 V2;ARRA 15;06/07/2018;22/10/2018;108;22/10/2018;;VERDE;0,25;15,4;1,1;15;19,7
B08 V1;ARRA 15;05/07/2018;22/10/2018;109;22/10/2018;;VERDE;0,12;14,6;1,1;14,7;20
B01 V1;BENITAKA M;10/07/2018;24/10/2018;106;24/10/2018;MADURO;VERMELHA;0,43;13,4;1,09;13,3;24,3
B01 V1;BENITAKA M;10/07/2018;29/10/2018;111;29/10/2018;MADURO;VERMELHA;0,82;15;1,03;14,9;24,6
B02 V1;BENITAKA M;17/07/2018;29/10/2018;104;29/10/2018;MADURO;VERMELHA;0,4;13,4;1,21;13,5;24,5
B02 V2;BENITAKA M;17/07/2018;29/10/2018;104;29/10/2018;MADURO;ROSADA;0,62;13,6;1,3;14;23,8
A14 V2;BENITAKA M;26/07/2018;01/11/2018;98;01/11/2018;MADURO;VERMELHA;0,62;13,4;1,36;14;22,8
B02 V1;BENITAKA M;17/07/2018;01/11/2018;107;01/11/2018;MADURO;VERMELHA;0,72;14;1,13;14,2;24,2
B02 V2;BENITAKA M;17/07/2018;01/11/2018;107;01/11/2018;MADURO;VERMELHA;0,9;14,6;1,27;14,8;24
A14 V2;BENITAKA M;26/07/2018;05/11/2018;102;05/11/2018;MADURO;VERMELHA;0,57;14;1,1;14,2;18,8
B02 V1;BENITAKA M;17/07/2018;05/11/2018;111;05/11/2018;MADURO;VERMELHA;0,88;15;1,04;14,8;23,7
B02 V2;BENITAKA M;17/07/2018;05/11/2018;111;05/11/2018;MADURO;VERMELHA;0,92;15,4;1,08;15,5;24
B17 V2;ARRA 15;15/08/2018;05/11/2018;82;05/11/2018;VERDE;VERDE;0;12,4;2;12,8;18,8
A14 V2;BENITAKA M;26/07/2018;08/11/2018;105;08/11/2018;MADURO;VERMELHA;0,82;14,2;1,06;14,8;22,9
A14 V1;BENITAKA M;02/08/2018;12/11/2018;102;12/11/2018;MADURO;VERMELHA;0,62;13,8;1,07;14,2;23,5
